ticker,name,market_cap,price,sector,market
KINV-B.ST,Kinnevik AB,23711197184,0,Financial Services,OMX Stockholm
HEM.ST,Hemnet Group AB (publ),23701389312,0,Communication Services,OMX Stockholm
MTRS.ST,Munters Group AB (publ),23478339584,0,Industrials,OMX Stockholm
KINV-A.ST,Kinnevik AB,23329603584,0,Financial Services,OMX Stockholm
HAUTOO.ST,"HAUTOO.ST,0P0001OZ21,5317",23006380032,0,Unknown,OMX Stockholm
HMS.ST,HMS Networks AB (publ),22610167808,0,Technology,OMX Stockholm
BILL.ST,Billerud AB (publ),22096013312,0,Basic Materials,OMX Stockholm
ALIF-B.ST,AddLife AB (publ),21997520896,0,Healthcare,OMX Stockholm
BETS-B.ST,Betsson AB (publ),21766580224,0,Consumer Cyclical,OMX Stockholm
BONEX.ST,Bonesupport Holding AB (publ),21252087808,0,Healthcare,OMX Stockholm
PEAB-B.ST,Peab AB (publ),21186879488,0,Industrials,OMX Stockholm
CLAS-B.ST,Clas Ohlson AB (publ),21050736640,0,Consumer Cyclical,OMX Stockholm
TIETOS.ST,TietoEVRY Oyj,21011249152,0,Technology,OMX Stockholm
BURE.ST,Bure Equity AB (publ),20742621184,0,Financial Services,OMX Stockholm
ATRLJ-B.ST,Atrium Ljungberg AB (publ),19725735936,0,Real Estate,OMX Stockholm
IPCO.ST,International Petroleum Corporation,19344887808,0,Energy,OMX Stockholm
SHOT.ST,Scandic Hotels Group AB (publ),19061157888,0,Consumer Cyclical,OMX Stockholm
EMBRAC-B.ST,Embracer Group AB (publ),19000354816,0,Communication Services,OMX Stockholm
ARION-SDB.ST,Arion banki hf.,18950662144,0,Financial Services,OMX Stockholm
BRAV.ST,Bravida Holding AB (publ),18800539648,0,Industrials,OMX Stockholm
PDX.ST,Paradox Interactive AB (publ),18726959104,0,Communication Services,OMX Stockholm
NCC-B.ST,NCC AB (publ),18725697536,0,Industrials,OMX Stockholm
VITR.ST,Vitrolife AB (publ),18647406592,0,Healthcare,OMX Stockholm
NCC-A.ST,NCC AB (publ),18632978432,0,Industrials,OMX Stockholm
EKTA-B.ST,Elekta AB (publ),18059571200,0,Healthcare,OMX Stockholm
OEM-B.ST,OEM International AB (publ),17950924800,0,Industrials,OMX Stockholm
ALLEI.ST,Alleima AB (publ),17940873216,0,Basic Materials,OMX Stockholm
EPRO-B.ST,Electrolux Professional AB (publ),17913016320,0,Industrials,OMX Stockholm
SYSR.ST,Systemair AB (publ),17777430528,0,Industrials,OMX Stockholm
AQ.ST,AQ Group AB (publ),17686910976,0,Industrials,OMX Stockholm
BUFAB.ST,Bufab AB (publ),17460164608,0,Industrials,OMX Stockholm
INTEA-B.ST,Intea Fastigheter AB ser. B,17355145216,0,Real Estate,OMX Stockholm
INTEA-D.ST,Intea Fastigheter AB ser. D,17264113664,0,Real Estate,OMX Stockholm
NYF.ST,Nyfosa AB (publ),16991951872,0,Real Estate,OMX Stockholm
VIMIAN.ST,Vimian Group AB (publ),16910056448,0,Healthcare,OMX Stockholm
AFRY.ST,Afry AB,16818870272,0,Industrials,OMX Stockholm
DOM.ST,Dometic Group AB (publ),16674084864,0,Consumer Cyclical,OMX Stockholm
ALIG.ST,Alimak Group AB (publ),16639945728,0,Industrials,OMX Stockholm
STOR-B.ST,Storskogen Group AB (publ),16324881408,0,Industrials,OMX Stockholm
LIAB.ST,Lindab International AB (publ),16162135040,0,Industrials,OMX Stockholm
NOLA-B.ST,Nolato AB (publ),16055747584,0,Healthcare,OMX Stockholm
ANOD-B.ST,Addnode Group AB (publ),15703534592,0,Technology,OMX Stockholm
NP3.ST,NP3 Fastigheter AB (publ),15580946432,0,Real Estate,OMX Stockholm
ELUX-B.ST,AB Electrolux (publ),15241366528,0,Consumer Cyclical,OMX Stockholm
ELUX-A.ST,AB Electrolux (publ),15222836224,0,Consumer Cyclical,OMX Stockholm
TRUE-B.ST,Truecaller AB (publ),15194097664,0,Technology,OMX Stockholm
BEIA-B.ST,Beijer Alma AB (publ),14850923520,0,Industrials,OMX Stockholm
GRNG.ST,Gränges AB (publ),14707278848,0,Basic Materials,OMX Stockholm
NORION.ST,Norion Bank AB (publ),14541154304,0,Financial Services,OMX Stockholm
NEWA-B.ST,New Wave Group AB (publ),14449837056,0,Consumer Cyclical,OMX Stockholm
VIT-B.ST,Vitec Software Group AB (publ),14431001600,0,Technology,OMX Stockholm
IVSO.ST,Invisio AB (publ),14361639936,0,Technology,OMX Stockholm
CIBUS.ST,Cibus Nordic Real Estate AB (publ),13851582464,0,Real Estate,OMX Stockholm
DYVOX.ST,Dynavox Group AB (publ),13170232320,0,Healthcare,OMX Stockholm
KAR.ST,Karnov Group AB (publ),12380928000,0,Industrials,OMX Stockholm
SKIS-B.ST,SkiStar AB (publ),12067396608,0,Consumer Cyclical,OMX Stockholm
YUBICO.ST,Yubico AB,11887793152,0,Technology,OMX Stockholm
RATO-B.ST,Ratos AB (publ),11712696320,0,Industrials,OMX Stockholm
ENGCON-B.ST,engcon AB (publ),11694275584,0,Industrials,OMX Stockholm
RATO-A.ST,Ratos AB (publ),11580261376,0,Industrials,OMX Stockholm
MTG-B.ST,Modern Times Group MTG AB,11364086784,0,Communication Services,OMX Stockholm
MTG-A.ST,Modern Times Group MTG AB,11149998080,0,Communication Services,OMX Stockholm
MIPS.ST,Mips AB (publ),10792520704,0,Consumer Cyclical,OMX Stockholm
BIOG-B.ST,BioGaia AB (publ),10734512128,0,Healthcare,OMX Stockholm
RUSTA.ST,Rusta AB (publ),10726836224,0,Consumer Cyclical,OMX Stockholm
AMBEA.ST,Ambea AB (publ),10690536448,0,Healthcare,OMX Stockholm
BILI-A.ST,Bilia AB (publ),10689712128,0,Consumer Cyclical,OMX Stockholm
CRED-A.ST,Creades AB,10638068736,0,Financial Services,OMX Stockholm
APOTEA.ST,Apotea AB,10508891136,0,Healthcare,OMX Stockholm
INWI.ST,Inwido AB (publ),10495870976,0,Industrials,OMX Stockholm
SLP-B.ST,Swedish Logistic Property AB,10408644608,0,Real Estate,OMX Stockholm
TFBANK.ST,TF Bank AB (publ),10387964928,0,Financial Services,OMX Stockholm
FPAR-D.ST,FastPartner AB (publ),10106936320,0,Real Estate,OMX Stockholm
FPAR-A.ST,FastPartner AB (publ),9970378752,0,Real Estate,OMX Stockholm
ATT.ST,Attendo AB (publ),9568815104,0,Healthcare,OMX Stockholm
VOLO.ST,Volati AB (publ),9542260736,0,Industrials,OMX Stockholm
NCAB.ST,NCAB Group AB (publ),9528759296,0,Technology,OMX Stockholm
ACAD.ST,AcadeMedia AB (publ),9406332928,0,Consumer Defensive,OMX Stockholm
CLA-B.ST,Cloetta AB (publ),9334476800,0,Consumer Defensive,OMX Stockholm
ARJO-B.ST,Arjo AB (publ),9320973312,0,Healthcare,OMX Stockholm
MCAP.ST,MedCap AB (publ),9272228864,0,Healthcare,OMX Stockholm
SBB-B.ST,Samhällsbyggnadsbolaget i Norden AB (publ),9199323136,0,Real Estate,OMX Stockholm
SBB-D.ST,Samhällsbyggnadsbolaget i Norden AB (publ),9119725568,0,Real Estate,OMX Stockholm
DIOS.ST,Diös Fastigheter AB (publ),9074646016,0,Real Estate,OMX Stockholm
BERG-B.ST,Bergman & Beving AB (publ),8889111552,0,Industrials,OMX Stockholm
JM.ST,JM AB (publ),8738260992,0,Consumer Cyclical,OMX Stockholm
HOFI.ST,Hoist Finance AB (publ),8725110784,0,Financial Services,OMX Stockholm
BWEO.ST,"BWEO.ST,0P0001JBKQ,100",8683921408,0,Unknown,OMX Stockholm
RAY-B.ST,RaySearch Laboratories AB (publ),8580554240,0,Healthcare,OMX Stockholm
TROAX.ST,Troax Group AB (publ),8496843264,0,Industrials,OMX Stockholm
SYNSAM.ST,Synsam AB (publ),8488781824,0,Healthcare,OMX Stockholm
PLAZ-B.ST,Platzer Fastigheter Holding AB (publ),8292975616,0,Real Estate,OMX Stockholm
CORE-D.ST,Corem Property Group AB (publ),8239459840,0,Real Estate,OMX Stockholm
MER.ST,Meren Energy Inc.,8207482880,0,Energy,OMX Stockholm
CORE-B.ST,Corem Property Group AB (publ),8174657536,0,Real Estate,OMX Stockholm
CS.ST,CoinShares International Limited,7919861760,0,Financial Services,OMX Stockholm
CORE-A.ST,Corem Property Group AB (publ),7900270080,0,Real Estate,OMX Stockholm
SVEAF.ST,Sveafastigheter AB (publ),7785037312,0,Real Estate,OMX Stockholm
LOGI-A.ST,Logistea AB (publ),7722802176,0,Real Estate,OMX Stockholm
LOGI-B.ST,Logistea AB (publ),7645200384,0,Real Estate,OMX Stockholm
MMGR-B.ST,Momentum Group AB (publ),7623014912,0,Industrials,OMX Stockholm
VBG-B.ST,VBG Group AB (publ),7520481280,0,Consumer Cyclical,OMX Stockholm
MILDEF.ST,MilDef Group AB (publ),7435039744,0,Industrials,OMX Stockholm
BETCO.ST,Better Collective A/S,7340700160,0,Technology,OMX Stockholm
SDIP-B.ST,Sdiptech AB (publ),7294726144,0,Industrials,OMX Stockholm
FAG.ST,Fagerhult Group AB,7128119808,0,Industrials,OMX Stockholm
ZZ-B.ST,Zinzino AB (publ),6876432384,0,Consumer Defensive,OMX Stockholm
BAHN-B.ST,Bahnhof AB (publ),6776315904,0,Communication Services,OMX Stockholm
FOI-B.ST,Fenix Outdoor International AG,6774432768,0,Consumer Cyclical,OMX Stockholm
INSTAL.ST,Instalco AB (publ),6768785920,0,Industrials,OMX Stockholm
GOTL-A.ST,Rederiaktiebolaget Gotland (publ),6613754368,0,Industrials,OMX Stockholm
STEF-B.ST,Stendörren Fastigheter AB (publ),6604109312,0,Real Estate,OMX Stockholm
