symbol,market,was_below_3months,golden_cross_detected,cross_date,ma60_uptrend,ma120_uptrend,currently_above,current_price,ma60_current,ma120_current,ma60_slope,ma120_slope,meets_all_conditions
LUND-B.ST,Stockholm,True,False,,False,False,False,484.20001220703125,482.53833363850913,493.02578557332356,-0.6293333943685034,-0.4578533426921138,False
SAGA-B.ST,Stockholm,False,False,,True,False,True,209.8000030517578,211.39666748046875,209.42962659200032,0.060333404540992286,-0.10258693695069572,False
SAAB-B.ST,Stockholm,False,False,,True,True,True,510.0,497.6374994913737,449.6722869873047,0.9442498270669998,1.8318849945067361,False
PEAB-B.ST,Stockholm,False,False,,False,False,True,75.30000305175781,77.68250007629395,77.41815242767333,-0.14024997711181653,-0.052953656514497266,False
RROS.ST,Stockholm,True,False,,False,False,False,2.9700000286102295,3.194098957379659,4.947466158866883,-0.046033333937327316,-0.05114999969800364,False
THULE.ST,Stockholm,True,False,,True,False,False,271.20001220703125,270.6099993387858,276.8522566477458,0.15866689046223487,-0.7777892812093277,False
TELIA.ST,Stockholm,False,False,,False,True,True,35.34000015258789,34.75435225168864,34.71536563237508,-0.020459054311121966,0.016236632664994918,False
SSAB-A.ST,Stockholm,False,False,,False,False,False,56.68000030517578,58.550666618347165,59.69444281260173,-0.039066658020030516,-0.030049797693895534,False
SKA-B.ST,Stockholm,False,False,,True,False,True,244.0,228.9083330790202,226.69868392944335,0.06533327738440545,-0.03469203948976869,False
005930.KS,KOSPI,False,False,,True,True,True,71600.0,62659.784830729164,59294.85869140625,255.73259765624232,127.41514648437501,False
005490.KS,KOSPI,False,False,,True,True,True,307500.0,285202.15677083336,278675.169140625,1062.4602864582964,512.0315494791299,False
035420.KS,KOSPI,False,False,,True,True,True,224500.0,229833.33333333334,214793.79114583333,618.3333333332909,27.76598958330892,False
068270.KS,KOSPI,False,False,,True,True,True,175000.0,167723.26927083332,165920.92942708332,431.4871875000019,2.121770833318552,False
000660.KS,KOSPI,False,False,,True,True,True,276500.0,256845.28177083333,224444.07877604166,1191.5596614583076,518.7002473958257,False
051910.KS,KOSPI,True,True,2025-08-05 00:00:00+09:00,True,True,True,282500.0,244678.33333333334,237144.32083333333,1387.333333333312,348.60910156248275,True
028260.KS,KOSPI,False,False,,True,True,True,163900.0,164543.33333333334,142590.83333333334,640.3333333333103,253.66666666664946,False
035720.KS,KOSPI,False,False,,True,True,True,64400.0,55298.333333333336,47882.238541666666,448.08333333332604,207.74014648437137,False
012330.KS,KOSPI,False,False,,True,True,True,296500.0,285127.22890625,268770.37643229164,761.3516666666299,442.8871614582859,False
003670.KS,KOSPI,True,False,,True,True,True,163200.0,131650.21575520834,131083.4412109375,800.8333333333209,223.16666666664793,False
066570.KS,KOSPI,True,False,,True,False,False,77200.0,74385.25442708333,74600.75055338541,109.68316406248614,-15.90365234375329,False
034730.KS,KOSPI,False,False,,True,True,True,186300.0,192778.17291666666,161820.26419270833,835.6799999999732,378.5650781249736,False
096770.KS,KOSPI,False,False,,True,False,False,109100.0,104258.33333333333,106565.75924479167,331.8333333333186,-152.49763671875223,False
036570.KS,KOSPI,False,False,,True,True,True,210000.0,190395.0,172425.59713541667,928.9999999999734,360.44846354165463,False
015760.KS,KOSPI,False,False,,True,True,True,38850.0,34794.166666666664,29228.333333333332,182.66666666666202,148.41666666666802,False
323410.KS,KOSPI,False,False,,True,True,True,26650.0,28127.5,25312.16765950521,58.499999999997044,22.602682291665197,False
030200.KS,KOSPI,False,False,,True,True,True,55700.0,53562.886393229164,51041.173177083336,60.83090494791122,78.95319661458065,False
033780.KS,KOSPI,False,False,,True,True,True,133700.0,129971.66666666667,117777.53352864583,334.3333333333203,302.2894010416619,False
017670.KS,KOSPI,False,False,,True,True,True,56100.0,54879.22858072917,54730.256119791666,88.12385416665997,11.617981770827654,False
161390.KS,KOSPI,False,False,,True,True,True,39750.0,42017.5,40348.672102864584,68.74999999999966,62.72927734374258,False
011200.KS,KOSPI,False,False,,False,True,True,22100.0,23322.5,21601.65,-1.1666666666707295,39.7353336588528,False
018260.KS,KOSPI,False,False,,True,True,True,151400.0,158820.0,140449.16666666666,369.66666666665384,184.08333333331447,False
024110.KS,KOSPI,False,False,,True,True,True,19460.0,18374.5,16515.691927083335,67.14999999999961,41.7414192708318,False
009830.KS,KOSPI,False,False,,False,True,True,30000.0,33162.5,28559.583333333332,-146.50000000000284,60.04166666666095,False
086790.KS,KOSPI,False,False,,True,True,True,86300.0,82238.56861979167,70816.68766276042,327.9391992187466,229.41290690103438,False
271560.KS,KOSPI,False,False,,False,True,False,109500.0,112166.66666666667,113908.05729166667,-211.16666666667632,27.784921874989195,False
047050.KS,KOSPI,False,False,,True,True,False,49200.0,49400.38190104167,49700.87008463542,31.482011718749717,71.80789713541319,False
003550.KS,KOSPI,False,False,,True,True,True,74700.0,77363.33333333333,71290.5056640625,102.8333333333361,68.87220052082849,False
032830.KS,KOSPI,False,False,,True,True,True,128500.0,122285.0,103138.33333333333,647.5000000000028,202.16666666665128,False
029780.KS,KOSPI,False,False,,True,True,True,50600.0,49722.5,45336.03697916667,141.66666666666032,80.6398990885385,False
006400.KS,KOSPI,True,False,,True,True,False,224000.0,182660.0,187599.22760416666,934.6666666666556,29.583333333308843,False
000270.KS,KOSPI,False,False,,True,True,True,103700.0,98415.0,94425.69095052083,183.83333333333147,119.28727864581832,False
051900.KS,KOSPI,False,False,,False,False,True,305500.0,323464.26666666666,320763.01927083335,-274.79067708337385,-94.7912239583503,False
010130.KS,KOSPI,False,False,,False,False,True,807000.0,801400.0,790750.0,-251.6666666668043,-197.50000000011022,False
042700.KS,KOSPI,False,False,,True,False,True,93000.0,89025.0,85242.151953125,73.33333333332364,-78.9048828125036,False
267250.KS,KOSPI,False,False,,True,True,True,134500.0,126255.3015625,100232.03372395833,859.5992968749938,488.04238932291076,False
251270.KS,KOSPI,False,False,,True,True,True,58900.0,58605.0,50925.0,100.99999999999554,96.33333333332716,False
097950.KS,KOSPI,False,False,,True,True,True,236000.0,246260.89322916666,244908.14140625,258.21351562496403,17.081119791656924,False
000810.KS,KOSPI,False,False,,True,True,True,441000.0,437400.0,401037.23463541665,1137.5000000000018,430.9292187499678,False
267260.KS,KOSPI,False,False,,True,True,True,487500.0,456314.54583333334,391492.71953125,2067.89380208329,870.8879166666303,False
007070.KS,KOSPI,False,False,,True,True,True,16640.0,16510.5,15532.707983398437,48.81666666666517,17.324421386716853,False
055550.KS,KOSPI,False,False,,True,True,True,69100.0,63473.39654947917,55327.73251953125,294.7070507812508,188.02585286458012,False
090430.KS,KOSPI,False,False,,True,True,True,122600.0,133971.66666666666,124112.744921875,23.66666666665895,60.15023437499223,False
016360.KS,KOSPI,False,False,,True,True,True,68800.0,68875.0,58142.083333333336,246.16666666665878,164.8333333333254,False
105560.KS,KOSPI,False,False,,True,True,True,113200.0,109704.51302083333,95414.617578125,333.01203124999614,289.10067708332775,False
010950.KS,KOSPI,False,False,,True,True,True,61200.0,60210.0,57621.666666666664,165.66666666666558,5.916666666663748,False
009150.KS,KOSPI,False,True,2025-08-04 00:00:00+09:00,True,True,True,162600.0,136765.0,132600.0,656.3333333333061,119.1666666666464,False
018880.KS,KOSPI,False,False,,True,False,False,3160.0,3207.5833333333335,3484.0,1.8499999999999137,-7.68750000000037,False
139480.KS,KOSPI,False,False,,False,True,True,78500.0,88921.66666666667,85996.69283854167,-68.83333333333952,87.26868489582554,False
004020.KS,KOSPI,False,False,,True,True,True,33000.0,31826.666666666668,28610.105061848957,140.49999999999844,80.98910156249397,False
196170.KQ,KOSDAQ,False,False,,True,True,True,437000.0,410216.6666666667,390366.6666666667,1960.8333333332716,368.33333333330967,False
035900.KQ,KOSDAQ,False,False,,True,True,True,79300.0,74838.33333333333,71560.83333333333,106.83333333332199,1.2499999999961613,False
240810.KQ,KOSDAQ,False,False,,True,True,True,42550.0,27881.666666666668,25970.416666666668,284.5000000000009,112.79166666666357,False
293490.KQ,KOSDAQ,False,False,,True,True,True,16850.0,17398.666666666668,16068.083333333334,44.099999999999234,5.2499999999984155,False
277810.KQ,KOSDAQ,False,False,,False,False,False,272500.0,274983.3333333333,286495.8333333333,-200.00000000003908,-1121.2500000000666,False
112040.KQ,KOSDAQ,True,False,,True,False,True,29800.0,31571.666666666668,30902.5,95.16666666666359,-91.95833333333441,False
067310.KQ,KOSDAQ,False,False,,True,True,True,12370.0,11512.833333333334,11468.083333333334,20.049999999998942,2.099999999998578,False
068760.KQ,KOSDAQ,True,True,2025-08-05 00:00:00+09:00,True,False,True,54000.0,51611.666666666664,50873.75,98.58333333332786,-0.33333333333758147,False
263750.KQ,KOSDAQ,False,False,,False,True,True,30000.0,39292.5,36144.166666666664,-41.000000000003375,15.54166666666442,False
225570.KQ,KOSDAQ,False,False,,True,True,True,14130.0,14082.666666666666,13471.416666666666,19.699999999997164,3.0666666666644296,False
095660.KQ,KOSDAQ,False,False,,False,True,True,23250.0,24614.166666666668,23516.666666666668,-24.750000000000387,23.33333333333342,False
357780.KQ,KOSDAQ,False,True,2025-08-07 00:00:00+09:00,True,True,True,243000.0,192141.66666666666,188612.10729166667,1084.4999999999914,384.0326953124873,False
058470.KQ,KOSDAQ,False,False,,True,False,False,46850.0,47433.333333333336,,123.58333333332885,,False
053800.KQ,KOSDAQ,False,False,,True,False,False,62700.0,65353.333333333336,70445.0,32.499999999991736,-118.83333333333908,False
121600.KQ,KOSDAQ,True,False,,True,False,False,58800.0,51245.833333333336,56100.416666666664,121.66666666666069,-73.66666666666639,False
078600.KQ,KOSDAQ,False,False,,True,False,False,77400.0,72533.33333333333,81586.66666666667,50.166666666653185,-262.1666666666737,False
131970.KQ,KOSDAQ,False,True,2025-08-07 00:00:00+09:00,True,True,True,36400.0,28660.833333333332,27689.327604166665,196.33333333333206,19.358660481766712,False
086520.KQ,KOSDAQ,True,False,,True,False,False,58600.0,46562.5,50198.20374348958,218.2499999999954,-32.59219726562707,False
206640.KQ,KOSDAQ,False,False,,False,False,False,14010.0,14735.5,15254.221419270832,-33.91666666666923,-15.527144368491859,False
064550.KQ,KOSDAQ,True,False,,False,False,False,14400.0,15229.0,15349.583333333334,-31.583333333333734,-22.29166666666599,False
108860.KQ,KOSDAQ,False,False,,False,False,True,13410.0,14376.666666666666,13829.583333333334,-5.533333333334685,-17.98333333333504,False
060280.KQ,KOSDAQ,False,False,,False,False,True,8400.0,9201.333333333334,8953.25,-12.433333333332993,-10.766666666667742,False
041510.KQ,KOSDAQ,False,False,,True,True,True,148600.0,134388.33333333334,121281.66666666667,435.66666666666373,450.50000000000347,False
039030.KQ,KOSDAQ,False,False,,True,True,True,235000.0,183565.0,156960.0,1652.6666666666515,758.9166666666587,False
101490.KQ,KOSDAQ,False,False,,True,True,True,54600.0,43258.333333333336,38120.416666666664,272.3333333333259,171.70833333332715,False
195940.KQ,KOSDAQ,False,False,,True,True,True,45000.0,43240.833333333336,40405.42060546875,61.91666666666015,73.72213541666441,False
348210.KQ,KOSDAQ,False,False,,False,False,False,47400.0,50010.0,52791.666666666664,-129.58333333333562,-75.20833333333881,False
048410.KQ,KOSDAQ,True,False,,True,False,False,5600.0,5579.333333333333,5628.958333333333,5.733333333333032,-7.9250000000004714,False
137400.KQ,KOSDAQ,False,False,,True,False,False,38600.0,32728.333333333332,37172.083333333336,10.91666666666389,-75.54166666667278,False
290650.KQ,KOSDAQ,False,False,,True,True,True,31400.0,30385.0,26104.0,146.16666666666686,88.74999999999692,False
950130.KQ,KOSDAQ,False,False,,True,False,True,5260.0,5528.333333333333,5269.0,2.349999999999555,-0.20833333333407286,False
140860.KQ,KOSDAQ,False,False,,True,True,True,256000.0,272141.6666666667,240118.33333333334,362.4999999999935,294.1666666666301,False
