ticker,name,market_cap,price,sector,market
ENGCON.B,engcon AB (publ),11.80B,77.90,Unknown,OMX Stockholm
RUSTA,Rusta AB (publ),11.77B,75.50,Unknown,OMX Stockholm
YUBICO,Yubico AB,11.75B,135.65,Unknown,OMX Stockholm
RATO.A,Ratos AB (publ),11.74B,37.20,Unknown,OMX Stockholm
MTG.A,Modern Times Group MTG AB,11.58B,100.00,Unknown,OMX Stockholm
MTG.B,Modern Times Group MTG AB,11.56B,98.50,Unknown,OMX Stockholm
CORE.A,Corem Property Group AB (publ),11.53B,5.18,Unknown,OMX Stockholm
CORE.D,Corem Property Group AB (publ),11.53B,248.50,Unknown,OMX Stockholm
CORE.B,Corem Property Group AB (publ),11.45B,4.690,Unknown,OMX Stockholm
INWI,Inwido AB (publ),10.73B,184.70,Unknown,OMX Stockholm
CRED.A,Creades AB,10.73B,79.00,Unknown,OMX Stockholm
AMBEA,Ambea AB (publ),10.72B,127.50,Unknown,OMX Stockholm
BILI.A,Bilia AB (publ),10.71B,118.30,Unknown,OMX Stockholm
APOTEA,Apotea AB (publ),10.69B,105.26,Unknown,OMX Stockholm
BIOG.B,BioGaia AB (publ),10.57B,106.00,Unknown,OMX Stockholm
MIPS,480844,10.47B,402.00,Unknown,OMX Stockholm
TFBANK,TF Bank AB (publ),10.43B,157.20,Unknown,OMX Stockholm
SLP.B,Swedish Logistic Property AB,10.16B,39.55,Unknown,OMX Stockholm
ATT,Azoty Tarnow,10.09B,65.80,Unknown,OMX Stockholm
FPAR.D,FastPartner AB (publ),9.93B,76.20,Unknown,OMX Stockholm
FPAR.A,FastPartner AB (publ),9.81B,50.90,Unknown,OMX Stockholm
ARJO.B,Arjo AB (publ),9.58B,34.72,Unknown,OMX Stockholm
NCAB,NCAB Group AB (publ),9.57B,51.70,Unknown,OMX Stockholm
CLA.B,Cloetta AB (publ),9.38B,32.34,Unknown,OMX Stockholm
DIOS,Diös Fastigheter AB (publ),9.38B,64.85,Unknown,OMX Stockholm
SBB.D,Samhällsbyggnadsbolaget i Norden AB (publ),9.37B,8.44,Unknown,OMX Stockholm
MCAP,MCAP Inc.,274674368.0,618.00,Technology,OMX Stockholm
BERG.B,Bergman & Beving AB (publ),9.28B,333.00,Unknown,OMX Stockholm
SBB.B,Samhällsbyggnadsbolaget i Norden AB (publ),9.17B,5.01,Unknown,OMX Stockholm
RAY.B,RaySearch Laboratories AB (publ),9.10B,265.00,Unknown,OMX Stockholm
ACAD,ACADIA Pharmaceuticals Inc.,4425315840.0,92.00,Healthcare,OMX Stockholm
JM,JM AB (publ),9.00B,137.90,Unknown,OMX Stockholm
HOFI,Hoist Finance AB (publ),8.85B,100.90,Unknown,OMX Stockholm
VOLO,Volati AB (publ),8.75B,108.40,Unknown,OMX Stockholm
BWEO,BW Energy Limited,8.53B,36.10,Unknown,OMX Stockholm
PLAZ.B,Platzer Fastigheter Holding AB (publ),8.52B,70.60,Unknown,OMX Stockholm
MER,Meren Energy Inc.,8.41B,12.55,Unknown,OMX Stockholm
TROAX,Troax Group AB (publ),8.40B,140.40,Unknown,OMX Stockholm
LOGI.A,Logistea AB (publ),8.26B,16.00,Unknown,OMX Stockholm
LOGI.B,Logistea AB (publ),8.26B,15.90,Unknown,OMX Stockholm
SYNSAM,Synsam AB (publ),8.18B,58.00,Unknown,OMX Stockholm
SVEAF,Sveafastigheter AB (publ),7.68B,39.20,Unknown,OMX Stockholm
MMGR.B,Momentum Group AB (publ),7.58B,153.40,Unknown,OMX Stockholm
VBG.B,VBG Group AB (publ),7.41B,296.40,Unknown,OMX Stockholm
BETCO,Better Collective A/S,7.30B,123.80,Unknown,OMX Stockholm
ZZ.B,Zinzino AB (publ),7.25B,201.50,Unknown,OMX Stockholm
SDIP.B,Sdiptech AB (publ),7.20B,189.90,Unknown,OMX Stockholm
EMIL.B,Fastighetsbolaget Emilshus AB (publ),7.15B,47.85,Unknown,OMX Stockholm
MILDEF,MilDef Group AB (publ),7.04B,152.30,Unknown,OMX Stockholm
FOI.B,Fenix Outdoor International AG,7.02B,511.00,Unknown,OMX Stockholm
FAG,Fagerhult Group AB,6.98B,39.90,Unknown,OMX Stockholm
ENITY,Enity Holding AB (publ),6.85B,87.70,Unknown,OMX Stockholm
STEF.B,Stendörren Fastigheter AB (publ),6.78B,206.00,Unknown,OMX Stockholm
INTRUM,Intrum AB (publ),6.77B,49.45,Unknown,OMX Stockholm
INSTAL,Instalco Intressenter AB,6.74B,25.12,Unknown,OMX Stockholm
GOTL.A,Rederiaktiebolaget Gotland (publ),6.66B,"2,680.00",Unknown,OMX Stockholm
GOTL.B,Rederiaktiebolaget Gotland (publ),6.66B,"2,620.00",Unknown,OMX Stockholm
BAHN.B,Bahnhof AB (publ),6.63B,61.60,Unknown,OMX Stockholm
PLSVO,Paratus Energy Services Ltd.,6.59B,43.06,Unknown,OMX Stockholm
CS,CoinShares International Limited,6.57B,99.20,Unknown,OMX Stockholm
SECARE,Swedencare AB (publ),6.33B,40.40,Unknown,OMX Stockholm
STORY.B,Storytel AB (publ),6.32B,81.85,Unknown,OMX Stockholm
SCST,"Suncast Solar Energy, Inc.",138058.0,95.80,Industrials,OMX Stockholm
NMAN,Nederman Holding AB (publ),5.94B,169.00,Unknown,OMX Stockholm
VPLAY.B,Viaplay Group AB (publ),5.91B,1.290,Unknown,OMX Stockholm
VPLAY.A,Viaplay Group AB (publ),5.79B,2.600,Unknown,OMX Stockholm
BOOZT,Boozt AB (publ),5.77B,92.75,Unknown,OMX Stockholm
RESURS,Resurs Holding AB (publ),5.70B,29.20,Unknown,OMX Stockholm
SVOL.A,Svolder AB (publ),5.69B,79.00,Unknown,OMX Stockholm
SVOL.B,Svolder AB (publ),5.69B,54.70,Unknown,OMX Stockholm
XVIVO,Xvivo Perfusion AB (publ),5.50B,175.00,Unknown,OMX Stockholm
ALLIGO.B,Alligo AB (publ),5.41B,109.20,Unknown,OMX Stockholm
