ticker,name,market_cap,price,sector,market
SYSR,Systemair AB (publ),20.13B,96.80,Unknown,OMX Stockholm
HAUTOO,Höegh Autoliners ASA,19.46B,108.90,Unknown,OMX Stockholm
NCC.A,NCC AB (publ),19.41B,201.00,Unknown,OMX Stockholm
IPCO,International Petroleum Corporation,19.24B,176.70,Unknown,OMX Stockholm
NCC.B,NCC AB (publ),19.23B,196.30,Unknown,OMX Stockholm
BRAV,Bravida Holding AB (publ),19.22B,93.80,Unknown,OMX Stockholm
OEM.B,OEM International AB (publ),19.19B,135.20,Unknown,OMX Stockholm
ARION.SDB,Arion banki hf.,19.13B,13.90,Unknown,OMX Stockholm
BONEX,Bonesupport Holding AB (publ),19.01B,287.40,Unknown,OMX Stockholm
EMBRAC.B,Embracer Group AB (publ),18.75B,82.79,Unknown,OMX Stockholm
SHOT,Scandic Hotels Group AB (publ),18.75B,87.15,Unknown,OMX Stockholm
INTEA.B,Intea Fastigheter AB (publ),18.68B,76.75,Unknown,OMX Stockholm
VITR,Vitrolife AB (publ),18.67B,135.90,Unknown,OMX Stockholm
EKTA.B,Elekta AB (publ),18.66B,49.36,Unknown,OMX Stockholm
PDX,Paradox Interactive AB (publ),18.63B,176.40,Unknown,OMX Stockholm
INTEA.D,Intea Fastigheter AB (publ),18.48B,37.80,Unknown,OMX Stockholm
BUFAB,Bufab AB (publ),18.45B,97.07,Unknown,OMX Stockholm
EPRO.B,Electrolux Professional AB (publ),18.39B,63.40,Unknown,OMX Stockholm
DOM,Dometic Group AB (publ),17.83B,55.65,Unknown,OMX Stockholm
AQ,AQ Group AB (publ),17.75B,192.80,Unknown,OMX Stockholm
NYF,Nyfosa AB (publ),17.61B,84.30,Unknown,OMX Stockholm
ALLEI,Alleima AB (publ),17.46B,70.05,Unknown,OMX Stockholm
STOR.B,Storskogen Group AB (publ),17.28B,10.25,Unknown,OMX Stockholm
AFRY,Afry AB,17.04B,150.00,Unknown,OMX Stockholm
ALIG,Alimak Group AB (publ),16.93B,160.80,Unknown,OMX Stockholm
VIMIAN,Vimian Group AB (publ),16.80B,32.20,Unknown,OMX Stockholm
ELUX.A,AB Electrolux (publ),16.26B,80.00,Unknown,OMX Stockholm
ELUX.B,AB Electrolux (publ),16.26B,58.86,Unknown,OMX Stockholm
LIAB,Lindab International AB (publ),16.21B,210.40,Unknown,OMX Stockholm
NP3,NP3 Fastigheter AB (publ),15.95B,258.00,Unknown,OMX Stockholm
TRUE.B,Truecaller AB (publ),15.85B,46.86,Unknown,OMX Stockholm
