ticker,name,sector,market_cap,market
004830.KS,덕성,기타,0,KOSPI
145720.KS,덴티움,기타,0,KOSPI
002150.KS,도화엔지니어링,기타,0,KOSPI
460850.KS,동국씨엠,기타,0,KOSPI
460860.KS,동국제강,기타,0,KOSPI
001230.KS,동국홀딩스,기타,0,KOSPI
004140.KS,동방,기타,0,KOSPI
007590.KS,동방아그로,기타,0,KOSPI
005965.KS,동부건설우,기타,0,KOSPI
005960.KS,동부건설,기타,0,KOSPI
026960.KS,동서,기타,0,KOSPI
002210.KS,동성제약,기타,0,KOSPI
102260.KS,동성케미컬,기타,0,KOSPI
000640.KS,동아쏘시오홀딩스,기타,0,KOSPI
170900.KS,동아에스티,기타,0,KOSPI
028100.KS,동아지질,기타,0,KOSPI
001525.KS,동양우,기타,0,KOSPI
001527.KS,동양2우B,기타,0,KOSPI
084670.KS,동양고속,기타,0,KOSPI
001520.KS,동양,기타,0,KOSPI
082640.KS,동양생명,기타,0,KOSPI
008970.KS,동양철관,기타,0,KOSPI
018500.KS,동원금속,기타,0,KOSPI
006040.KS,동원산업,기타,0,KOSPI
030720.KS,동원수산,기타,0,KOSPI
014825.KS,동원시스템즈우,기타,0,KOSPI
014820.KS,동원시스템즈,기타,0,KOSPI
111380.KS,동인기연,기타,0,KOSPI
163560.KS,동일고무벨트,기타,0,KOSPI
004890.KS,동일산업,기타,0,KOSPI
002690.KS,동일제강,기타,0,KOSPI
000020.KS,동화약품,기타,0,KOSPI
000155.KS,두산우,기타,0,KOSPI
000157.KS,두산2우B,기타,0,KOSPI
454910.KS,두산로보틱스,기타,0,KOSPI
241560.KS,두산밥캣,기타,0,KOSPI
000150.KS,두산,기타,0,KOSPI
034020.KS,두산에너빌리티,기타,0,KOSPI
033626.KS,두산퓨얼셀1우,기타,0,KOSPI
336260.KS,두산퓨얼셀,기타,0,KOSPI
016740.KS,두올,기타,0,KOSPI
192650.KS,드림텍,기타,0,KOSPI
024090.KS,디씨엠,기타,0,KOSPI
003160.KS,디아이,기타,0,KOSPI
092200.KS,디아이씨,기타,0,KOSPI
004840.KS,DRB동일,기타,0,KOSPI
377190.KS,디앤디플랫폼리츠,기타,0,KOSPI
000300.KS,DH오토넥스,기타,0,KOSPI
